Feature,Mean,Standard Deviation
Feature 173,1.2642412369504283e-14,1.0
Feature 174,3.2156095967779535e-15,1.0
Feature 175,-1.1929851046426683e-15,1.0
Feature 176,1.5926653935077246e-15,1.0000000000000004
Feature 177,-8.942341816526261e-16,1.0
Feature 178,5.047919153385165e-15,0.9999999999999999
Feature 179,-2.6049869332341174e-15,0.9999999999999998
Feature 180,-1.1503929122434123e-14,1.0
Feature 181,-1.937843824800273e-15,0.9999999999999998
Feature 182,2.299133106120621e-14,1.0000000000000002
Feature 183,-2.6700863742235016e-15,1.0
Feature 184,-7.204338136158516e-15,0.9999999999999998
Feature 185,-1.948946055046525e-15,1.0000000000000002
Feature 186,-1.20509662854767e-15,1.0000000000000002
Feature 187,2.723578938137259e-15,0.9999999999999999
Feature 188,9.683857251439255e-15,0.9999999999999999
Feature 189,-4.773454359058798e-15,1.0
Feature 190,8.824254458452494e-15,0.9999999999999999
Feature 191,-5.10702591327572e-15,0.9999999999999996
Feature 192,1.9098674661967928e-15,1.0000000000000002
Feature 193,-5.551115123125783e-17,1.0
Feature 194,-4.249126303338099e-15,1.0000000000000002
Feature 195,1.4251226461552009e-15,0.9999999999999998
Feature 196,7.296183859104779e-15,1.0
Feature 197,2.0629962384852908e-14,0.9999999999999999
Feature 198,3.1469776279829435e-15,1.0
Feature 199,-5.517808432387028e-15,1.0
Feature 200,1.965094753586527e-15,1.0
Feature 201,-7.381469173269166e-15,0.9999999999999999
Feature 202,-6.9843121185509845e-15,0.9999999999999996
Feature 203,1.8636607408821377e-15,1.0
Feature 204,-7.250765644461023e-15,1.0000000000000002
Feature 205,-4.035156047683069e-15,1.0000000000000002
Feature 206,1.453382868600205e-15,1.0
Feature 207,1.1102230246251565e-16,1.0
Feature 208,2.2921058990215733e-14,1.0
Feature 209,-9.266325080985057e-15,1.0
Feature 210,8.633497956948718e-15,1.0000000000000002
Feature 211,7.499051884513558e-15,1.0000000000000002
Feature 212,-4.218847493575595e-15,1.0
Feature 213,8.033977523651133e-16,1.0
Feature 214,3.292618702940589e-14,1.0000000000000002
Feature 215,2.2608177956003185e-16,0.9999999999999997
Feature 216,-1.120315961212658e-14,1.0000000000000018
Feature 217,2.3718400980628343e-16,0.9999999999999998
Feature 218,-6.4069961457459036e-15,0.9999999999999989
Feature 219,-9.726562989375121e-15,1.0
Feature 220,1.1526133582926624e-15,1.0
Feature 221,3.623364234913011e-16,0.9999999999999994
Feature 222,1.9994107379840318e-15,0.9999999999999999
Feature 223,-9.168423596086292e-15,0.9999999999999998
Feature 224,-5.909414371982083e-15,1.0000000000000002
Feature 225,-6.686570489219693e-16,1.0
Feature 226,1.709642528556866e-14,0.9999999999999994
Feature 227,-9.118968206807536e-15,0.9999999999999999
Feature 228,1.0791367799356522e-14,1.0000000000000004
Feature 229,1.8565956852708868e-15,0.9999999999999998
Feature 230,3.3811337568129766e-15,1.0000000000000002
Feature 231,-4.390427415563119e-16,1.0
Feature 232,8.308505398831172e-15,1.0000000000000002
Feature 233,3.093485064069186e-15,0.9999999999999992
Feature 234,4.081583555985576e-15,1.0000000000000004
Feature 235,5.528910662633279e-15,1.0000000000000004
Feature 236,-3.5444185465426482e-15,1.0
Feature 237,2.4021189078253386e-16,1.0000000000000002
Feature 238,2.3173382404903266e-15,1.0000000000000002
Feature 239,2.0673362012179166e-14,0.9999999999999997
Feature 240,-2.6504051478778735e-15,1.0
Feature 241,-2.1275910326453e-15,1.0000000000000002
Feature 242,-1.9984014443252818e-15,1.0
Feature 243,5.716639283160806e-15,0.9999999999999996
Feature 244,-1.673408886207736e-15,1.0
Feature 245,1.8565956852708868e-15,0.9999999999999997
Feature 246,-3.034946031861678e-14,1.0
Feature 247,-6.608350230666557e-16,1.0000000000000002
Feature 248,2.987660623949234e-14,1.0000000000000004
Feature 249,3.0526086708898055e-15,0.9999999999999999
Feature 250,1.063290869493275e-15,0.9999999999999999
Feature 251,9.083642928751281e-17,0.9999999999999998
Feature 252,1.553302940816469e-15,1.0
Feature 253,-5.233187620619488e-16,1.0000000000000002
Feature 254,-2.3491309907409563e-14,1.0
Feature 255,-9.847173581595764e-15,1.0
Feature 256,-1.3231839866214365e-15,1.0000000000000002
